Year,Oil_Discoveries_Fixed,Oil_Cumulative_Discoveries_Fixed,Oil_Production_Fixed,Oil_Reserves_Fixed,Oil_discoveries_backdated,Oil_discoveries_cumulative_backdated,Oil_production_backdated,Oil_production_cumulative_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Oil_Discoveries_Richards_Fitted,Oil_Discoveries_Raw,Gas_Discoveries_Fixed,Gas_Cumulative_Discoveries_Fixed,Gas_Production_Fixed,Gas_Reserves_Fixed,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Gas_Discoveries_Raw,Coal_Discoveries_Fixed,Coal_Cumulative_Discoveries_Fixed,Coal_Production_Fixed,Coal_Reserves_Fixed,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves,Coal_Discoveries_Raw
1972,77.90846659858782,9048.590174380952,110.34,8938.250174380952,102.618361847,8083.6122862,113.376297325,1663.7104522399998,6419.901833960001,102.618361847,8083.6122882313,110.34,1612.2400000000002,6471.3722882313,7896.554987113955,226.72940478251246,57.750728751080736,5997.579720240649,39.4397424,5958.139977840649,13.968240372565996,942.1048655303248,39.4397424,601.79931788,340.3055476503247,34.00812047356674,105.60920796138505,22174.30443977946,62.1,22112.20443977946,79.22991,1130.8107148999998,62.1,2753.0199999999995,-1622.2092850999998,79.22991
1973,75.85933207737428,9124.449506458326,120.4,9004.049506458327,233.67776775800002,8317.290055299998,122.61844728,1786.3288995199998,6530.961155779998,233.677767758,8317.2900559893,120.4,1732.6400000000003,6584.6500559893,8096.326014335612,1236.855507648428,56.410277449156695,6053.989997689806,41.3377236,6012.652274089806,63.075167082690655,1005.1800326130152,41.3377236,643.13704148,362.0429911330153,283.2611110876328,99.26858801280308,22273.573027792263,63.21,22210.363027792264,49.8837,1180.6944149,63.21,2816.23,-1635.5355850999997,49.883700000000005
1974,73.81889336548748,9198.268399823814,120.67,9077.598399823813,172.95229520799998,8490.2423488,123.191978918,1909.5208779499999,6580.7214708500005,172.95229520799998,8490.242351197301,120.67,1853.3100000000004,6636.932351197301,8292.691921118947,384.0317422395436,55.06533402695089,6109.055331716757,42.2103762,6066.844955516757,49.11667901457626,1054.2967116275915,42.2103762,685.34741768,368.9492939475915,215.4694415333892,93.22448208033995,22366.797509872602,63.77,22303.0275098726,48.991200000000006,1229.6856148999998,63.77,2879.9999999999995,-1650.3143850999998,48.991200000000006
1975,71.78999133798982,9270.058391161803,114.62,9155.438391161802,176.027002709,8666.2693534,118.293368245,2027.8142464999999,6638.455106900001,176.027002709,8666.2693539063,114.62,1967.9300000000003,6698.3393539063,8485.468481769987,637.4873996864638,53.71802660247574,6162.773358319233,42.3003708,6120.472987519233,109.9883941806084,1164.2851058082,42.3003708,727.64778848,436.6373173281999,68.35969854444946,87.4735417246021,22454.271051597203,67.56,22386.7110515972,102.156922,1331.8425368999997,67.56,2947.5599999999995,-1615.7174630999998,102.15692200000001
1976,69.77535131283186,9339.833742474635,124.53,9215.303742474634,158.731773176,8825.001125599998,124.86559663399998,2152.67984289,6672.321282709998,158.731773176,8825.0011270823,124.53,2092.4600000000005,6732.541127082299,8674.492147390645,241.27377626245485,52.37044675889194,6215.143805078125,44.124408,6171.019397078126,48.37448164203645,1212.6595874502364,44.124408,771.77219648,440.8873909702363,28.051264748439785,82.01097752819554,22536.2820291254,69.48,22466.8020291254,42.9508,1374.7933368999998,69.48,3017.0399999999995,-1642.2466630999998,42.9508
1977,67.7775743437795,9407.611316818415,128.88,9278.731316818416,238.67416740899998,9063.675294899998,131.579389675,2284.25923287,6779.416062029999,238.674167409,9063.6752944913,128.88,2221.3400000000006,6842.3352944913,8859.619578044267,128.22504190775715,51.024640455393495,6266.168445533519,45.9869796,6220.181465933519,57.04159412177475,1269.7011815720111,45.9869796,817.7591760800001,451.9420054920111,37.845709132989384,76.83076141334499,22613.112790538744,71.59,22541.522790538744,73.28228,1448.0756168999997,71.59,3088.63,-1640.5543831,73.28228
1978,65.79912970628264,9473.410446524696,130.05,9343.360446524697,147.20162015399998,9210.8769142,133.39265536199997,2417.65188811,6793.22502609,147.20162015399998,9210.8769146453,130.05,2351.390000000001,6859.486914645298,9040.727059290313,237.18343241264228,49.68259950972121,6315.85104504324,47.5437816,6268.30726344324,85.90084198132473,1355.6020235533358,47.5437816,865.3029576800001,490.2990658733357,69.17389989860659,71.92581974396994,22685.038610282714,72.7,22612.338610282713,91.2398,1539.3154168999995,72.7,3161.3299999999995,-1622.0145830999998,91.2398
1979,63.84234859110544,9537.252795115803,135.55,9401.702795115803,245.59225921,9456.4691728,138.42695931499998,2556.07884773,6900.3903250700005,245.59225921,9456.4691738553,135.55,2486.940000000001,6969.529173855299,9217.709820025198,2398.8373213744353,48.34625371586114,6364.197298759102,50.7492756,6313.4480231591015,88.19439232190147,1443.7964158752372,50.7492756,916.05223328,527.7441825952371,362.89584443910394,67.28821508805717,22752.326825370772,76.97,22675.35682537077,103.9739,1643.2893168999997,76.97,3238.2999999999997,-1595.0106830999996,103.9739
1980,61.90941900432283,9599.162214120126,129.42,9469.742214120126,82.248424813,9538.7176017,134.044716814,2690.1235643,6848.5940374,82.248424813,9538.7175986683,129.42,2616.360000000001,6922.357598668299,9390.481267970614,193.25072214002026,47.01746364987353,6411.214762408975,51.4200168,6359.794745608975,83.96764878823467,1527.7640646634718,51.4200168,967.47225008,560.2918145834717,83.64891713318993,62.90931512869036,22815.236140499463,75.49,22739.74614049946,111.11584,1754.4051568999996,75.49,3313.789999999999,-1559.3848430999994,111.11583999999999
1981,60.002381857997754,9659.164595978124,121.96,9537.204595978124,149.89198922499997,9688.6095894,124.87686504199999,2815.0004292199997,6873.60916018,149.89198922499995,9688.6095878933,121.96,2738.320000000001,6950.289587893298,9558.972158368848,312.49127508812103,45.69801420594828,6456.912776614923,52.311528,6404.601248614923,24.6957135940786,1552.4597782575504,52.311528,1019.78377808,532.6760001775503,31.32512022057989,58.779947754199334,22874.016088253662,77.2,22796.81608825366,157.76878999999997,1912.1739468999997,77.2,3390.989999999999,-1478.8160530999994,157.76879
