Fuel,Year,D_obs_EJ,D_backdated_EJ,D_added_EJ,D_hat_EJ,Cum_D_hat_EJ,Production,Cum_Prod_EJ,Reserves_hat_EJ,Reserves_EI
Gas,1974,215.4694415333892,313.7686214624183,2.949550924621363e-26,313.7686214624183,5552.904126550226,42.21034934691852,195.7151734971485,5357.188953053077,2552.0083289636846
Gas,1975,68.35969854444946,99.26114120090432,2.948446519354054e-26,99.26114120090432,5652.16526775113,42.30034553979203,238.01551903694053,5414.14974871419,2552.0083289636846
Gas,1976,28.051264748439785,40.611316010181476,2.949550924621363e-26,40.611316010181476,5692.7765837613115,44.1243854421773,282.13990447911783,5410.636679282194,2552.0083289636846
Gas,1977,37.845709132989384,54.62425747780771,2.950024241164496e-26,54.62425747780771,5747.4008412391195,45.98695632765157,328.1268608067694,5419.27398043235,2552.0083289636846
Gas,1978,69.17389989860659,99.52742823960266,2.9497086968024073e-26,99.52742823960266,5846.9282694787225,47.543761451113824,375.6706222578832,5471.257647220839,2552.0083289636846
Gas,1979,362.89584443910394,520.4391540199271,2.949235380259275e-26,520.4391540199271,6367.367423498649,50.74926137222565,426.41988363010887,5940.947539868541,2552.0083289636846
Gas,1980,83.64891713318993,119.56112249477653,2.950970874250761e-26,119.56112249477653,6486.928545993425,51.42001724900547,477.83990087911434,6009.088645114311,2552.0083289636846
Gas,1981,31.32512022057989,44.61867857738982,2.950970874250761e-26,44.61867857738982,6531.547224570815,52.311530234653674,530.151431113768,6001.395793457047,2644.854450863486
Gas,1982,163.9936052952024,232.7534136490063,2.9497086968024073e-26,232.7534136490063,6764.300638219822,52.55094207018999,582.702373183958,6181.598265035864,2728.9930774607883
Gas,1983,103.94324600019125,146.98049736028963,2.9506553298886726e-26,146.98049736028963,6911.281135580111,53.02098944531235,635.7233626292704,6275.557772950841,2786.198661669048
Gas,1984,51.12959395021066,72.02401264991654,2.950339785526584e-26,72.02401264991654,6983.305148230028,57.55900502083375,693.2823676501041,6290.022780579924,2887.6314427050147
Gas,1985,598.6360865567533,839.9524274738902,2.951128646431805e-26,839.9524274738902,7823.2575757039185,59.07721934452991,752.359586994634,7070.897988709285,2966.6002381534336
Gas,1986,63.447020394784396,88.66110053382071,2.9512864186128494e-26,88.66110053382071,7911.918676237739,60.605214192274616,812.9648011869086,7098.953875050831,3179.8051852778854
Gas,1987,126.904061613219,176.59102970573014,2.951601962974938e-26,176.59102970573014,8088.509705943469,63.642862727713464,876.6076639146221,7211.902042028847,3270.106823631246
Gas,1988,720.2523798994007,997.9021810146183,2.951759735155982e-26,997.9021810146183,9086.411886958087,66.4479491464258,943.0556130610479,8143.3562738970395,3411.090709786662
Gas,1989,170.3658751088445,234.98093841631592,2.952390823880159e-26,234.98093841631592,9321.392825374403,68.74917227087508,1011.804785331923,8309.588040042481,3796.6972084147856
Gas,1990,359.0424720332344,492.92038836483516,2.951128646431805e-26,492.92038836483516,9814.313213739239,70.90978848682698,1082.71457381875,8731.598639920488,3901.0684566142436
Gas,1991,39.72032708633442,54.26956476896176,2.95317968478538e-26,54.26956476896176,9868.5827785082,71.85487242252066,1154.5694462412707,8714.01333226693,4109.406271317878
Gas,1992,83.20466803200628,113.11826992032033,2.952548596061203e-26,113.11826992032033,9981.70104842852,72.06602363561797,1226.6354698768887,8755.065578551632,4206.464993178907
Gas,1993,22.32360290421474,30.193751389687595,2.952706368242247e-26,30.193751389687595,10011.894799818208,72.88666685210637,1299.522136728995,8712.372663089212,4248.715407085326
Gas,1994,77.41947702583526,104.15832897557144,2.951917507337026e-26,104.15832897557144,10116.05312879378,73.95305960635096,1373.475196335346,8742.577932458433,4277.66360804291
Gas,1995,84.39052171880498,112.9142146403764,2.952548596061203e-26,112.9142146403764,10228.967343434155,75.18059999748812,1448.6557963328341,8780.31154710132,4287.174446500719
Gas,1996,205.68465161667868,273.6433997192456,2.952706368242247e-26,273.6433997192456,10502.6107431534,78.8398659421523,1527.4956622749864,8975.115080878413,4404.209796104399
Gas,1997,49.49631101305854,65.46326381614097,2.954915178776866e-26,65.46326381614097,10568.07400696954,78.77869465435424,1606.2743569293407,8961.7996500402,4501.402548759567
Gas,1998,185.54295922192355,243.90519886402708,2.95317968478538e-26,243.90519886402708,10811.979205833568,79.28532787603945,1685.5596848053801,9126.419521028187,4626.788624520222
Gas,1999,67.35272674406147,87.98118341491406,2.9544418622337334e-26,87.98118341491406,10899.960389248481,83.1698986541669,1768.729583459547,9131.230805788935,4748.415475070332
Gas,2000,436.6558115009283,566.6752423004721,2.9536530013285124e-26,566.6752423004721,11466.635631548954,86.44202759545442,1855.1716110550014,9611.464020493953,4968.834955408832
Gas,2001,70.05022920684443,90.29487864681188,2.9545996344147776e-26,90.29487864681188,11556.930510195765,88.50216741972508,1943.6737784747265,9613.256731721038,5489.33947912157
Gas,2002,57.30397203015271,73.34840147368114,2.954284090052689e-26,73.34840147368114,11630.278911669446,90.56177808914072,2034.2355565638672,9596.04335510558,5540.3834447414265
Gas,2003,50.240198260658566,63.84087397398154,2.955704039682087e-26,63.84087397398154,11694.119785643426,93.80353377691642,2128.039090340784,9566.080695302642,5564.909789827784
Gas,2004,64.8905480942124,81.83795587724916,2.954284090052689e-26,81.83795587724916,11775.957741520675,96.99900863066607,2225.03809897145,9550.919642549225,5580.713383421625
Gas,2005,43.23590859662048,54.10319454815008,2.955546267501043e-26,54.10319454815008,11830.060936068825,99.2960116154303,2324.3341105868803,9505.726825481945,5522.1386275516725
Gas,2006,372.03939275356186,461.7914705844484,2.9545996344147776e-26,461.7914705844484,12291.852406653274,102.672456463446,2427.0065670503263,9864.845839602947,5590.262032171819
Gas,2007,55.343946348560216,68.11984498824685,2.955704039682087e-26,68.11984498824685,12359.97225164152,105.39228797315263,2532.398855023479,9827.573396618041,5856.199729064464
Gas,2008,37.00432064861138,45.150676215800246,2.95507295095791e-26,45.150676215800246,12405.122927857321,109.17781065593954,2641.5766656794185,9763.546262177902,5974.616746422957
Gas,2009,36.929019620293616,44.65222795027582,2.955861811863131e-26,44.65222795027582,12449.775155807596,105.86881203090525,2747.4454777103238,9702.329678097272,6083.138194170042
Gas,2010,203.47794874741192,243.72750921289747,2.956492900587308e-26,243.72750921289747,12693.502665020493,113.2102163474683,2860.655694057792,9832.8469709627,6477.869847049533
Gas,2011,175.49094986543489,208.15877215261298,2.956335128406264e-26,208.15877215261298,12901.661437173105,117.50644166856,2978.162135726352,9923.499301446753,6549.101389336314
Gas,2012,280.265198239552,329.0751320927198,2.9568084449493964e-26,329.0751320927198,13230.736569265824,120.30113583663115,3098.463271562983,10132.27329770284,6508.627388691902
Gas,2013,202.26923976705018,234.99919348000873,2.9577550780356617e-26,234.99919348000873,13465.735762745833,121.33076032515964,3219.794031888143,10245.94173085769,6526.75725406594
Gas,2014,102.97610169117112,118.3312414156778,2.956492900587308e-26,118.3312414156778,13584.06700416151,124.02535936916092,3343.819391257304,10240.247612904206,6593.845416163469
Gas,2015,171.52207780624377,194.85685989352717,2.9577550780356617e-26,194.85685989352717,13778.923864055037,126.54701946239697,3470.366410719701,10308.557453335336,6522.962026634554
Gas,2016,34.97129490590865,39.258717015035515,2.957439533673573e-26,39.258717015035515,13818.182581070074,127.92941456561721,3598.295825285318,10219.886755784755,6607.297962691172
Gas,2017,19.9655989560475,22.13708840831336,2.957439533673573e-26,22.13708840831336,13840.319669478387,132.63594584588623,3730.931771131204,10109.387898347184,6761.821240164289
Gas,2018,114.1880396282593,124.98151962966887,2.958228394578794e-26,124.98151962966887,13965.301189108057,138.81435775601835,3869.7461288872228,10095.555060220835,6805.938974605547
Gas,2019,105.12383234689099,113.52041555588775,2.9583861667598385e-26,113.52041555588775,14078.821604663945,143.01158330089606,4012.7577121881186,10066.063892475826,6849.643557650591
