Fuel,Year,Discoveries,Production,Cumulative_Discoveries,Cumulative_Production,Reserves,EI_Reserves,Delta_vs_EI,NegativeFlag
Gas,1961,8.739711015278239,19.61796456,277.3549243699632,257.01050804,20.344416329963224,,,0
Gas,1962,22.704033162488336,21.46318056,300.05895753245153,278.4736886,21.585268932451527,,,0
Gas,1963,6.564396349724783,23.4846144,306.62335388217633,301.958303,4.665050882176331,,,0
Gas,1964,17.685272360381177,25.65938304,324.3086262425575,327.61768604,-3.309059797442501,,,1
Gas,1965,36.63034472162085,27.49854744,360.9389709641784,355.11623348,5.82273748417839,,,0
Gas,1966,138.51837614941832,29.5885368,499.4573471135967,384.70477028,114.75257683359672,,,0
Gas,1967,189.3054373780141,31.842486,688.7627844916108,416.54725628,272.2155282116108,,,0
Gas,1968,44.497873330081404,34.8320628,733.2606578216921,451.37931908,281.8813387416921,,,0
Gas,1969,102.46508704728969,38.2527288,835.7257448689818,489.63204788,346.0936969889818,,,0
Gas,1970,43.80103445416327,35.139222,879.5267793231451,524.77126988,354.7555094431451,,,0
Gas,1971,48.60984583461357,37.5883056,928.1366251577587,562.35957548,365.77704967775867,,,0
Gas,1972,13.968240372565997,39.4397424,942.1048655303247,601.79931788,340.3055476503247,,,0
Gas,1973,63.075167082690655,41.3377236,1005.1800326130153,643.13704148,362.04299113301533,,,0
Gas,1974,49.11667901457626,42.2103762,1054.2967116275915,685.34741768,368.9492939475915,,,0
Gas,1975,109.9883941806084,42.3003708,1164.2851058082,727.64778848,436.63731732819986,,,0
Gas,1976,48.37448164203645,44.124408,1212.6595874502364,771.77219648,440.8873909702363,,,0
Gas,1977,57.04159412177475,45.9869796,1269.7011815720111,817.7591760800001,451.94200549201105,,,0
Gas,1978,85.90084198132473,47.5437816,1355.6020235533358,865.3029576800001,490.29906587333573,,,0
Gas,1979,88.19439232190147,50.7492756,1443.7964158752372,916.0522332800001,527.7441825952371,,,0
Gas,1980,83.96764878823467,51.4200168,1527.7640646634718,967.4722500800001,560.2918145834717,,,0
Gas,1981,24.6957135940786,52.311528,1552.4597782575504,1019.78377808,532.6760001775503,,,0
Gas,1982,18.53378163141923,52.5509568,1570.9935598889697,1072.33473488,498.65882500896964,,,0
Gas,1983,17.54111917932417,53.021016,1588.5346790682938,1125.35575088,463.17892818829387,,,0
Gas,1984,31.7192816623966,57.5590284,1620.2539607306903,1182.91477928,437.3391814506904,,,0
