Year,Oil_Discoveries_Cumulative_Backdated,Oil_Discoveries,Gas_Discoveries,Coal_Discoveries,Oil_Production,Oil_Reserves,Gas_Production,Gas_Reserves,Coal_Production,Coal_Reserves
1951,3480.00652774,1325.9177803591936,846.0435401663485,9951.770652918764,391.43000000000006,934.4877803591935,117.52822111999998,728.5153190463485,1616.5700000000002,8335.200652918764
1952,3526.89581681,1332.4036505391969,860.2530557166086,11331.980566577142,417.4200000000001,914.9836505391968,127.35487723999998,732.8981784766087,1659.3000000000002,9672.680566577143
1953,3761.3422609399995,1358.8852328359194,872.6016173856168,12818.522397461484,444.9000000000001,913.9852328359193,137.74571923999997,734.8558981456168,1702.2200000000003,11116.302397461484
1954,3868.9570225599996,1364.5450360316092,882.6908909839387,14435.705844995104,473.6700000000001,890.8750360316092,148.64507239999998,734.0458185839387,1744.5900000000001,12691.115844995104
1955,4012.69959721,1404.6200450799302,908.6992122659047,16205.573610619402,505.9100000000001,898.7100450799301,160.50189919999997,748.1973130659048,1790.63,14414.9436106194
1956,4182.577184489999,2197.4244351766683,996.8947587456756,18087.60767406708,541.0000000000001,1656.4244351766683,173.36019847999998,823.5345602656756,1839.2800000000002,16248.327674067079
1957,4423.94172097,2205.900794250342,1044.6384774580329,20080.08027375488,577.9700000000001,1627.930794250342,187.33077536,857.3077020980329,1889.3000000000002,18190.78027375488
1958,4746.01732897,2244.9048298036605,1100.0217803318703,22219.777724943637,615.8700000000001,1629.0348298036604,202.35734456,897.6644357718703,1940.9,20278.877724943635
1959,4895.14064103,2299.857039423538,1245.9718622131395,24381.32621716361,656.7700000000001,1643.087039423538,219.13217816,1026.8396840531395,1994.38,22386.946217163608
1960,5222.596987049999,2334.823185527358,1278.2808609458175,26646.34127879282,700.8400000000001,1633.9831855273578,237.39254348,1040.8883174658174,2050.09,24596.25127879282
1961,5505.854412399999,2418.3807090215555,1331.9093320681686,28959.47489018706,747.7500000000001,1670.6307090215555,257.01050804,1074.8988240281687,2102.58,26856.89489018706
1962,5785.65279249,2727.7230618002504,1409.713717050554,31327.62285368435,798.6300000000001,1929.0930618002503,278.4736886,1131.2400284505538,2156.33,29171.292853684346
1963,5958.605087819999,2865.7540217521946,1428.1136060893564,33733.790019610016,853.2200000000001,2012.5340217521943,301.958303,1126.1553030893565,2211.71,31522.080019610017
1964,6374.459270299999,3069.460365597805,1453.9282119198383,36192.43873204912,912.1800000000002,2157.2803655978046,327.61768604,1126.3105258798382,2269.54,33922.89873204912
1965,6668.0938357,3284.9940450250488,1693.5941314041197,38638.78801890762,977.8100000000002,2307.1840450250484,355.11623348,1338.4778979241196,2328.5099999999998,36310.278018907615
1966,6817.217150199999,4174.890053615501,2138.913199882615,41093.67920334672,1049.0800000000002,3125.8100536155007,384.70477028,1754.208429602615,2388.2999999999997,38705.37920334672
1967,7007.0803334,5795.994930082917,2360.9094896637107,43508.27116927239,1125.5400000000002,4670.454930082917,416.54725628,1944.3622333837106,2445.97,41062.30116927239
1968,7328.3872682,6225.607681976844,2527.762999915984,45890.79653276968,1208.9500000000003,5016.657681976843,451.37931908,2076.383680835984,2505.24,43385.55653276968
1969,7567.4457741,7620.64369441499,2948.134815834091,48213.23357416392,1298.7400000000002,6321.90369441499,489.63204788,2458.5027679540913,2565.7099999999996,45647.52357416392
1970,7692.7401035,7983.419149749094,3026.548241825336,50506.55923579313,1397.5000000000002,6585.919149749094,524.77126988,2501.776971945336,2628.5999999999995,47877.95923579313
1971,7980.993926,8262.567910249512,3636.464371784943,52680.74452801311,1501.9000000000003,6760.667910249512,562.35957548,3074.104796304943,2690.9199999999996,49989.82452801311
1972,8083.6122862,8398.00219826371,3686.2589132813023,54811.21498920186,1612.2400000000002,6785.76219826371,601.79931788,3084.459595401302,2753.0199999999995,52058.19498920186
1973,8317.290055299998,8641.24659673551,4099.893654913404,56808.23828888967,1732.6400000000003,6908.606596735509,643.13704148,3456.7566134334043,2816.2299999999996,53992.00828888967
1974,8490.2423488,8866.937932068175,4413.662276375822,58692.76018233734,1853.3100000000004,7013.627932068174,685.34741768,3728.3148586958223,2879.9999999999995,55812.76018233734
1975,8666.2693534,9355.785252491412,4512.923417576727,60513.26176996164,1967.9300000000003,7387.855252491412,727.64778848,3785.275629096727,2947.5599999999995,57565.70176996164
1976,8825.001125599998,10252.251212894493,4553.534733586908,62153.72031749526,2092.4600000000005,8159.791212894492,771.77219648,3781.762537106908,3017.0399999999995,59136.68031749526
1977,9063.675294899998,10583.530424475854,4608.158991064716,63701.8929443796,2221.3400000000006,8362.190424475853,817.7591760800001,3790.399814984716,3088.6299999999997,60613.2629443796
1978,9210.8769142,11333.810989573789,4707.686419304319,65145.393858037976,2351.390000000001,8982.420989573788,865.3029576800001,3842.3834616243194,3161.3299999999995,61984.063858037975
1979,9456.4691728,11629.27249531536,5228.125573324246,66480.61551331524,2486.940000000001,9142.332495315359,916.0522332800001,4312.073340044246,3238.2999999999993,63242.31551331523
1980,9538.7176017,12177.639481851002,5347.686695819022,67705.03699573484,2616.360000000001,9561.279481851001,967.4722500800001,4380.214445739022,3313.789999999999,64391.246995734844
1981,9688.6095894,12421.906014169192,5392.305374396412,68862.50058936083,2738.320000000001,9683.58601416919,1019.78377808,4372.521596316412,3390.989999999999,65471.510589360834
1982,9849.2630507,12536.870717859776,5625.058788045419,69876.87825812453,2855.460000000001,9681.410717859775,1072.33473488,4552.724053165419,3470.929999999999,66405.94825812454
1983,9928.821111199999,12629.376479482962,5772.039285405708,70737.86741210672,2971.100000000001,9658.276479482962,1125.35575088,4646.683534525708,3550.619999999999,67187.24741210672
1984,10082.5564832,12846.027210266597,5844.063298055625,71505.39116726101,3089.0100000000007,9757.017210266597,1182.91477928,4661.148518775624,3633.799999999999,67871.59116726101
1985,10263.1955453,12924.522546827598,6684.015725529515,72207.41483501557,3205.890000000001,9718.632546827597,1241.99201768,5442.023707849516,3721.199999999999,68486.21483501558
1986,10378.4970743,13162.82840414104,6772.676826063336,72800.32302335472,3328.540000000001,9834.28840414104,1302.5972436799998,5470.079582383336,3810.6699999999987,68989.65302335472
1987,10472.2756561,13423.453252919016,6949.267855769066,73341.47065950971,3451.4700000000007,9971.983252919015,1366.2401244799998,5583.027731289067,3901.8299999999986,69439.6406595097
1988,10556.0614314,13637.842375625156,7947.170036783685,73764.00319807374,3579.6600000000008,10058.182375625154,1432.6880892799998,6514.481947503685,3995.1999999999985,69768.80319807374
1989,10666.7509029,14040.9347044789,8182.150975200001,74220.93651737542,3709.390000000001,10331.544704478898,1501.4372676799999,6680.713707520001,4090.2199999999984,70130.71651737542
1990,10769.7535997,14276.624865823736,8675.071363564835,74581.13829835698,3841.6100000000006,10435.014865823736,1572.34706528,7102.724298284836,4185.059999999999,70396.07829835698
1991,10837.397164599999,14571.262992219976,8729.340928333797,75007.90086037737,3973.4700000000007,10597.792992219975,1644.20194928,7085.138979053797,4277.319999999999,70730.58086037738
1992,10943.0902359,14793.924842560642,8842.459198254117,75269.58161106675,4107.240000000001,10686.68484256064,1716.26798048,7126.191217774117,4369.379999999999,70900.20161106675
1993,11014.192848499999,14908.815885380767,8872.652949643805,75543.79931242767,4240.820000000001,10667.995885380766,1789.15464968,7083.498299963805,4458.669999999999,71085.12931242767
1994,11076.4556705,15026.682011791478,8976.811278619376,75730.15882368563,4376.250000000001,10650.432011791476,1863.10772168,7113.703556939376,4550.009999999999,71180.14882368564
1995,11144.867914699998,15163.023790500853,9089.725493259752,75894.4374720661,4513.540000000001,10649.483790500852,1938.2883288799999,7151.437164379751,4644.139999999999,71250.2974720661
1996,11217.123537099998,15510.667812540183,9363.368892978997,76057.65777285528,4654.4800000000005,10856.187812540182,2017.12820288,7346.240690098997,4739.539999999999,71318.11777285529
1997,11286.688797199999,15782.68678839274,9428.832156795135,76216.11850798072,4798.56,10984.12678839274,2095.90690568,7332.925251115135,4836.339999999999,71379.77850798072
1998,11375.086636099999,15957.57892261761,9672.737355659165,76364.4220121142,4946.280000000001,11011.298922617609,2176.77130808,7495.966047579164,4931.4,71433.0220121142
1999,11528.822008099998,16073.097015018364,9760.718539074078,76515.09143634478,5090.660000000001,10982.437015018364,2259.94121528,7500.777323794078,5026.49,71488.60143634478
2000,11742.5141764,16274.195930501864,10327.39378137455,76679.47740070542,5241.300000000001,11032.895930501863,2346.36702008,7981.02676129455,5122.98,71556.49740070543
2001,11863.9651215,16319.962559330486,10417.688660021362,76882.41697969944,5391.930000000001,10928.032559330484,2434.83406808,7982.854591941362,5223.5599999999995,71658.85697969944
2002,11945.4448711,16412.4526775926,10491.037061495044,77060.21997803323,5540.740000000002,10871.712677592597,2525.36448488,7965.672576615045,5325.349999999999,71734.86997803322
2003,11994.6401938,16519.743616879165,10554.877935469023,77210.90063816878,5696.160000000002,10823.583616879163,2619.13322768,7935.744707789023,5434.61,71776.29063816878
2004,12057.671695099998,16618.562456961237,10636.715891346272,77408.00302394642,5859.370000000002,10759.192456961235,2716.09015208,7920.625739266272,5553.3099999999995,71854.69302394643
2005,12113.4007644,16635.07121618888,10690.819085894422,77611.68581256473,6023.970000000002,10611.10121618888,2815.36981448,7875.449271414422,5679.48,71932.20581256473
2006,12252.9156212,16877.3903659909,11152.61055647887,77899.18947663915,6190.040000000002,10687.3503659909,2918.03519048,8234.57536599887,5812.0199999999995,72087.16947663914
