Fuel,Year,Discoveries,Cumulative_Discoveries,Production,Cumulative_Production,Reserves
Coal,2053,1.357,16980.241815729507,0.0,8327.1,8653.141815729507
Coal,2078,4.813361403426924,16985.055177132934,0.0,8327.1,8657.955177132933
Gas,1869,1.2339,1.2339,0.0,0.0,1.2339
Gas,1887,0.25516,1.48906,0.0,0.0,1.48906
Gas,1889,0.25516,1.74422,0.0,0.0,1.74422
Gas,1890,0.12758,1.8718000000000001,0.0,0.0,1.8718000000000001
Gas,1899,0.12758,1.9993800000000002,0.0,0.0,1.9993800000000002
Gas,1900,0.0,1.9993800000000002,0.265825512,0.265825512,1.7335544880000002
Gas,1901,0.51032,2.5097,0.29458103,0.560406542,1.949293458
Gas,1902,0.12758,2.63728,0.323336534,0.883743076,1.753536924
Gas,1903,0.0,2.63728,0.352092042,1.235835118,1.401444882
Gas,1904,0.0,2.63728,0.380847546,1.616682664,1.020597336
Gas,1905,0.12758,2.76486,0.40960305,2.026285714,0.738574286
Gas,1906,0.12758,2.89244,0.438358558,2.464644272,0.427795728
Gas,1907,0.0,2.89244,0.46711404,2.9317583120000004,-0.039318312000000244
Gas,1908,0.12758,3.02002,0.49586958,3.4276278920000003,-0.40760789200000014
Gas,1909,0.0,3.02002,0.524625084,3.9522529760000005,-0.9322329760000003
Gas,1910,0.0,3.02002,0.5673204,4.519573376,-1.4995533760000002
Gas,1911,0.09139010450373455,3.111410104503735,0.597475188,5.117048564,-2.0056384594962653
Gas,1912,5.1854612970724725,8.296871401576208,0.627629976,5.74467854,2.5521928615762084
Gas,1913,0.3467042732937802,8.643575674869988,0.657784764,6.402463303999999,2.2411123708699883
Gas,1914,1.4782071976788553,10.121782872548843,0.687939516,7.0904028199999996,3.031380052548844
Gas,1915,1.4172804613430323,11.539063333891876,0.718094304,7.808497124,3.730566209891877
Gas,1916,6.92247824242885,18.461541576320727,0.748249128,8.556746252,9.904795324320727
Gas,1917,0.03046336816791152,18.492004944488638,0.778403916,9.335150168,9.156854776488638
Gas,1918,0.4218301045037346,18.91383504899237,0.808558704,10.143708872,8.770126176992372
Gas,1919,0.09139010450373455,19.005225153496106,0.838713492,10.982422364,8.022802789496106
Gas,1920,2.098694530195201,21.103919683691306,0.86886828,11.851290643999999,9.252629039691307
Gas,1921,0.06894036073624413,21.17286004442755,0.899023032,12.750313676,8.422546368427552
Gas,1922,1.1533028942868129,22.326162938714365,0.95971014,13.710023816,8.616139122714365
Gas,1923,0.034470180368122064,22.360633119082486,1.124447292,14.834471107999999,7.526162011082487
Gas,1924,0.034470180368122064,22.395103299450607,1.289184408,16.123655516,6.271447783450608
Gas,1925,3.8574090561919725,26.25251235564258,1.45392156,17.577577076,8.674935279642579
Gas,1926,0.1040003636020387,26.35651271924462,1.61865864,19.196235716,7.1602770032446195
Gas,1927,2.8661563422732814,29.2226690615179,1.783395828,20.979631544,8.243037517517902
Gas,1928,2.2196054320358116,31.442274493553715,1.94813316,22.927764704,8.514509789553713
Gas,1929,0.5789309018406104,32.021205395394325,2.0685816,24.996346304,7.024859091394326
Gas,1930,0.823255608937817,32.84446100433214,2.168638344,27.164984648,5.679476356332138
Gas,1931,0.0513751217875634,32.895836126119704,2.2716864,29.436671048,3.459165078119703
Gas,1932,5.385685039176529,38.28152116529623,2.374734384,31.811405432,6.4701157332962325
Gas,1933,0.12758,38.409101165296235,2.47778244,34.289187872,4.119913293296236
Gas,1934,0.0,38.409101165296235,2.580830424,36.870018296,1.5390828692962373
Gas,1935,0.1395501566185023,38.54865132191474,2.68387848,39.553896775999995,-1.0052454540852551
Gas,1936,6.512332468802907,45.06098379071765,2.786926464,42.34082323999999,2.720160550717658
Gas,1937,6.659247334765565,51.72023112548322,2.9898774,45.33070063999999,6.3895304854832276
Gas,1938,3.9820934938887715,55.702324619371986,3.17501388,48.50571451999999,7.196610099371995
Gas,1939,0.2303302435751268,55.93265486294711,3.40309836,51.90881287999999,4.023841982947118
Gas,1940,0.738043308989957,56.67069817193707,3.63118284,55.53999571999999,1.1307024519370756
Gas,1941,2.278425138808913,58.94912331074598,3.85926732,59.399263039999994,-0.4501397292540119
Gas,1942,0.1439840102827193,59.093107321028704,4.0873518,63.486614839999994,-4.39350751897129
Gas,1943,5.969118389687322,65.06222571071602,4.31543628,67.80205111999999,-2.7398254092839665
Gas,1944,6.735831962792062,71.79805767350808,4.54352076,72.34557188,-0.5475142064919112
Gas,1945,0.33489574399989536,72.13295341750798,4.77160524,77.11717712,-4.984223702492017
Gas,1946,1.0051095738668367,73.13806299137481,5.02698996,82.14416707999999,-9.006104088625179
Gas,1947,4.858819242235839,77.99688223361065,5.56156044,87.70572751999998,-9.708845286389334
Gas,1948,1.18081911298284,79.1777013465935,6.28766532,93.99339283999998,-14.81569149340649
Gas,1949,29.54809829408369,108.72579964067718,6.71871312,100.71210595999999,8.013693680677193
Gas,1950,8.050022814691655,116.77582245536884,7.69188168,108.40398763999998,8.371834815368857
Gas,1951,37.10893852834135,153.88476098371018,9.12423348,117.52822111999998,36.356539863710196
Gas,1952,14.77657157131184,168.66133255502203,9.82665612,127.35487723999998,41.30645531502205
Gas,1953,4.2592914490273435,172.92062400404936,10.390842,137.74571923999997,35.17490476404939
Gas,1954,2.5105858692659,175.43120987331525,10.89935316,148.64507239999998,26.78613747331528
Gas,1955,1.9874216296354748,177.41863150295072,11.8568268,160.50189919999997,16.91673230295075
Gas,1956,25.63770072915908,203.0563322321098,12.85829928,173.36019847999998,29.69613375210983
Gas,1957,20.42659883875073,223.48293107086053,13.97057688,187.33077536,36.15215571086054
Gas,1958,8.48342822657129,231.9663592974318,15.0265692,202.35734456,29.609014737431806
Gas,1959,10.44847965165788,242.4148389490897,16.7748336,219.13217816,23.282660789089704
Gas,1960,26.20037440559526,268.61521335468495,18.26036532,237.39254348,31.222669874684954
Gas,1961,8.739711015278239,277.3549243699632,19.61796456,257.01050804,20.344416329963224
Gas,1962,22.704033162488336,300.05895753245153,21.46318056,278.4736886,21.585268932451527
Gas,1963,6.564396349724783,306.62335388217633,23.4846144,301.958303,4.665050882176331
Gas,1964,17.685272360381177,324.3086262425575,25.65938304,327.61768604,-3.309059797442501
Gas,1965,36.63034472162085,360.9389709641784,27.49854744,355.11623348,5.82273748417839
Gas,1966,138.51837614941832,499.4573471135967,29.5885368,384.70477028,114.75257683359672
Gas,1967,189.3054373780141,688.7627844916108,31.842486,416.54725628,272.2155282116108
Gas,1968,44.497873330081404,733.2606578216921,34.8320628,451.37931908,281.8813387416921
Gas,1969,102.46508704728969,835.7257448689818,38.2527288,489.63204788,346.0936969889818
Gas,1970,43.80103445416327,879.5267793231451,35.139222,524.77126988,354.7555094431451
Gas,1971,48.60984583461357,928.1366251577587,37.5883056,562.35957548,365.77704967775867
Gas,1972,13.968240372565997,942.1048655303247,39.4397424,601.79931788,340.3055476503247
Gas,1973,63.075167082690655,1005.1800326130153,41.3377236,643.13704148,362.04299113301533
Gas,1974,49.11667901457626,1054.2967116275915,42.2103762,685.34741768,368.9492939475915
Gas,1975,109.9883941806084,1164.2851058082,42.3003708,727.64778848,436.63731732819986
Gas,1976,48.37448164203645,1212.6595874502364,44.124408,771.77219648,440.8873909702363
Gas,1977,57.04159412177475,1269.7011815720111,45.9869796,817.7591760800001,451.94200549201105
Gas,1978,85.90084198132473,1355.6020235533358,47.5437816,865.3029576800001,490.29906587333573
Gas,1979,88.19439232190147,1443.7964158752372,50.7492756,916.0522332800001,527.7441825952371
Gas,1980,83.96764878823467,1527.7640646634718,51.4200168,967.4722500800001,560.2918145834717
Gas,1981,24.6957135940786,1552.4597782575504,52.311528,1019.78377808,532.6760001775503
Gas,1982,18.53378163141923,1570.9935598889697,52.5509568,1072.33473488,498.65882500896964
Gas,1983,17.54111917932417,1588.5346790682938,53.021016,1125.35575088,463.17892818829387
Gas,1984,31.7192816623966,1620.2539607306903,57.5590284,1182.91477928,437.3391814506904
Gas,1985,10.361601473312021,1630.6155622040023,59.0772384,1241.99201768,388.62354452400245
Gas,1986,19.395423383148287,1650.0109855871506,60.605226,1302.5972436799998,347.4137419071508
Gas,1987,74.65114483459308,1724.6621304217438,63.6428808,1366.2401244799998,358.4220059417439
Gas,1988,75.99407266429688,1800.6562030860407,66.4479648,1432.6880892799998,367.96811380604095
Gas,1989,86.82816320359956,1887.4843662896403,68.7491784,1501.4372676799999,386.04709860964044
Gas,1990,45.210906162715574,1932.695272452356,70.9097976,1572.34706528,360.34820717235607
Gas,1991,16.395686632940613,1949.0909590852966,71.854884,1644.20194928,304.8890098052966
Gas,1992,24.91495708887726,1974.0059161741738,72.0660312,1716.26798048,257.73793569417376
Gas,1993,18.002525942688774,1992.0084421168626,72.8866692,1789.15464968,202.8537924368627
Gas,1994,29.884707164304935,2021.8931492811676,73.953072,1863.10772168,158.7854276011676
Gas,1995,13.48865880477417,2035.3818080859417,75.1806072,1938.2883288799999,97.09347920594178
Gas,1996,44.21208751917542,2079.5938956051173,78.839874,2017.12820288,62.46569272511738
Gas,1997,26.750711177733365,2106.344606782851,78.7787028,2095.90690568,10.437701102850951
Gas,1998,64.46470599997353,2170.8093127828242,80.8644024,2176.77130808,-5.96199529717569
Gas,1999,22.578647599843833,2193.387960382668,83.1699072,2259.94121528,-66.55325489733195
Gas,2000,42.588934026531696,2235.9768944091998,86.4258048,2346.36702008,-110.39012567080044
Gas,2001,13.953350130786003,2249.930244539986,88.467048,2434.83406808,-184.9038235400144
Gas,2002,20.945908777552035,2270.876153317538,90.5304168,2525.36448488,-254.488331562462
Gas,2003,13.044892819378308,2283.921046136916,93.7687428,2619.13322768,-335.2121815430837
Gas,2004,22.954958985509123,2306.8760051224253,96.9569244,2716.09015208,-409.2141469575745
Gas,2005,13.641526571307928,2320.5175316937334,99.2796624,2815.36981448,-494.85228278626664
Gas,2006,38.579185132648696,2359.096716826382,102.665376,2918.03519048,-558.9384736536181
Gas,2007,17.98739577289416,2377.084112599276,105.4031256,3023.43831608,-646.3542034807238
Gas,2008,17.378149011626633,2394.4622616109027,109.261116,3132.69943208,-738.2371704690972
Gas,2009,58.56367436381855,2453.025935974721,105.8724756,3238.57190768,-785.545971705279
Gas,2010,43.36889111201109,2496.394827086732,113.4075456,3351.97945328,-855.5846261932679
Gas,2011,13.914452741264261,2510.3092798279963,117.272232,3469.25168528,-958.9424054520036
Gas,2012,19.79574343398618,2530.1050232619823,119.7427788,3588.99446408,-1058.8894408180176
Gas,2013,15.192030669479797,2545.297053931462,121.164984,3710.15944808,-1164.862394148538
Gas,2014,13.03370202837909,2558.330755959841,123.6816576,3833.84110568,-1275.510349720159
Gas,2015,8.944022635090517,2567.274778594932,126.282204,3960.12330968,-1392.8485310850683
Gas,2016,3.1270083374182573,2570.40178693235,127.6010424,4087.7243520800002,-1517.32256514765
Gas,2017,17.70241293165277,2588.104199864003,132.187428,4219.91178008,-1631.8075802159974
Gas,2018,6.488321170774347,2594.5925210347773,138.80952,4358.72130008,-1764.128779045223
Gas,2019,17.391986710277244,2611.9845077450545,142.8635232,4501.58482328,-1889.6003155349454
Gas,2020,20.167456486871767,2632.1519642319263,138.9816,4640.56642328,-2008.4144590480737
Gas,2021,3.2197231526790144,2635.371687384605,145.9231308,4786.48955408,-2151.1178666953947
